category_href,pageNo,Armacad Link,Title,Image,Deadline,Disciplines,Eligible Countries,Host Country,Study Levels,Opportunities
/opportunities/grants,1,https://armacad.info/2018-04-06--the-postdoc-prestige-program-2018-france,"The Postdoc PRESTIGE Program 2018, France",https://armacad.info/images/2018/04/06/5fe82dabd59bdcb7.jpg,"
December 31, 2018 ",['science'],['international'],['international'],['postdoctoral'],"['fellowships', 'grants']"
/opportunities/grants,1,https://armacad.info/2018-12-12--immanuel-kant-scholarship-program-2019-germany," Federal Government Commissioner for Culture and Media Immanuel-Kant Scholarship Program 2019, Germany",https://armacad.info/images/2018/12/12/x8bfaa047892201cd.png.pagespeed.ic.uxLFPI5T_f.png,"
December 31, 2018 ","['culture', 'european-studies', 'history']",['international'],['germany'],['research'],"['grants', 'scholarships']"
/opportunities/grants,1,https://armacad.info/bebs-barcelona-executive-business-school--2018-12-18--executive-certificate-courses-40-discount-for-your-2019-resolutions-goals,Executive Certificate Courses - 40% discount for your 2019 resolutions & goals,https://armacad.info/images/2018/12/18/xe7f34be0a95efd06.jpg.pagespeed.ic.WIuEaEWKg1.jpg,"
December 31, 2018 ","['business', 'business-administration', 'entrepreneurship', 'finance', 'human-resource-management', 'innovative-technologies', 'leadership', 'management', 'marketing', 'project-management']",['international'],['international'],"['certificate-program', 'non-degree']","['awards', 'competition', 'fellowships', 'financial-aid', 'grants', 'online', 'prize', 'scholarships', 'study']"
/opportunities/grants,1,https://armacad.info/2018-12-19--vardan-gregoryani-anvan-gitahetazotakan-dramashnorhner-2019,Վարդան Գրեգորյանի անվան գիտահետազոտական դրամաշնորհներ 2019,https://armacad.info/images/2018/12/19/xdc72b87a0d0f1d0d.png.pagespeed.ic.4jAm2wCi3c.jpg,"
December 31, 2018 ","['armenian-studies', 'history', 'social-sciences']",['armenia'],['armenia'],['research'],"['grants', 'scholarships']"
/opportunities/grants,1,https://armacad.info/2018-12-19-vartan-gregorian-scholarship-research-grants-program-2019-armenia,"Vartan Gregorian Scholarship (Research Grants) Program 2019, Armenia",https://armacad.info/images/2018/12/19/xa79d07f1a618f98d.png.pagespeed.ic.4jAm2wCi3c.jpg,"
December 31, 2018 ","['armenian-studies', 'history', 'social-sciences']",['armenia'],['armenia'],['research'],"['grants', 'scholarships']"
/opportunities/grants,1,https://armacad.info/2018-12-17--active-youth-educational-program-open-up-for-dialogue-2019-czech-republic,"Active Youth Educational Program „Open Up for Dialogue“ 2019, Czech Republic",https://armacad.info/images/2018/12/17/x49397325a305abd1.png.pagespeed.ic.k1vUctltri.png,"
January 06, 2019 ","['conflict-studies', 'democracy-studies', 'education', 'leadership', 'migration-studies', 'peace-studies', 'religious-studies', 'social-sciences']","['bulgaria', 'czech-republic', 'hungary', 'poland', 'romania', 'slovakia']",['czech-republic'],[],['grants']
/opportunities/grants,1,https://armacad.info/2018-11-06--lewis-walpole-library-visiting-fellowships-and-travel-grants-2019-united-states,"Lewis Walpole Library Visiting Fellowships and Travel Grants 2019, United States",https://armacad.info/images/2018/11/06/xccf14cb128efadde.png.pagespeed.ic.Tf3jbn_xZW.png,"
January 07, 2019 ","['art-history', 'arts', 'culture', 'history', 'humanities']",['international'],['united-states'],"['doctoral', 'postdoctoral', 'research']","['fellowships', 'grants']"
/opportunities/grants,1,https://armacad.info/university-of-pennsylvania--2018-11-28--the-international-visitors-grant-program-2019-usa,"Perry World House International Visitors Grant Program 2019, USA",https://armacad.info/images/2018/11/28/x216a3a29f06e49ce.png.pagespeed.ic.ooeJ0y9S9J.png,"
January 08, 2019 ","['international-relations', 'leadership', 'policy', 'political-sciences']",['united-states'],['united-states'],['research'],['grants']
/opportunities/grants,1,https://armacad.info/2018-11-29--brocher-foundation-research-for-human-being-and-society-workshops-2019-20-switzerland,"Workshop/CfP - Ethical, Legal and Social Implications of New Medical Developments, Switzerland",https://armacad.info/images/2018/11/29/x820d7b2ed4acea7f.png.pagespeed.ic.cnNLB84llM.jpg,"
January 13, 2019 ","['anthropology', 'biology', 'biomedical-sciences', 'health', 'humanities', 'law', 'medicine', 'policy', 'political-sciences', 'security', 'social-sciences', 'technology']",['international'],['switzerland'],['research'],['grants']
/opportunities/grants,1,https://armacad.info/2018-11-29--brocher-foundation-research-for-human-being-and-society-symposium-2019-20-switzerland,"Brocher Foundation Researchers Residency 2020 - Ethical, Legal and Social Implications of New Medical Developments, Switzerland",https://armacad.info/images/2018/11/29/dbf58da157910766.png,"
January 13, 2019 ","['anthropology', 'biology', 'biomedical-sciences', 'health', 'law', 'medicine', 'neuroscience', 'policy', 'political-sciences', 'public-health', 'security', 'social-sciences', 'technology']",['international'],['switzerland'],['research'],"['grants', 'publications']"
